matrix_size,	elapsed_time
692,	0.060116
693,	0.061195
694,	0.060688
695,	0.060464
696,	0.077825
697,	0.083179
698,	0.062755
699,	0.059926
700,	0.060311
701,	0.056855
702,	0.067674
703,	0.064714
704,	0.059796
705,	0.064286
706,	0.067460
707,	0.108009
708,	0.056881
709,	0.056265
710,	0.089511
711,	0.098605
712,	0.082721
713,	0.088408
714,	0.058073
715,	0.058248
716,	0.065104
717,	0.089547
718,	0.058057
719,	0.072363
720,	0.058353
721,	0.086563
722,	0.099251
723,	0.059473
724,	0.068706
725,	0.066345
726,	0.086806
727,	0.060938
728,	0.058253
729,	0.058763
730,	0.210138
731,	0.151244
732,	0.138590
733,	0.147547
734,	0.154757
735,	0.199936
736,	0.173602
737,	0.159437
738,	0.168159
739,	0.143130
740,	0.161860
741,	0.134846
742,	0.164915
743,	0.188383
744,	0.143771
745,	0.230791
746,	0.160920
747,	0.091795
748,	0.079571
749,	0.069877
750,	0.072967
751,	0.075036
752,	0.105339
753,	0.123425
754,	0.075858
755,	0.093948
756,	0.181202
757,	0.093129
758,	0.070599
759,	0.124262
760,	0.068328
761,	0.107284
762,	0.067010
763,	0.170000
764,	0.116733
765,	0.098805
766,	0.120922
767,	0.078694
768,	0.084056
769,	0.074102
770,	0.070970
771,	0.068352
772,	0.079855
773,	0.083771
774,	0.067659
775,	0.071539
776,	0.072968
777,	0.081976
778,	0.081750
779,	0.128274
780,	0.076867
781,	0.071350
782,	0.081554
783,	0.096858
784,	0.070765
785,	0.106647
786,	0.110814
787,	0.075538
788,	0.103092
789,	0.075157
790,	0.086767
791,	0.076275
792,	0.075252
793,	0.076802
794,	0.076516
795,	0.081106
796,	0.074919
797,	0.085010
798,	0.096490
799,	0.134954
800,	0.122699
801,	0.118342
802,	0.090880
803,	0.082561
804,	0.102523
805,	0.089466
806,	0.085230
807,	0.116562
808,	0.088747
809,	0.081575
810,	0.149648
811,	0.081452
812,	0.132892
813,	0.082648
814,	0.092879
815,	0.124841
816,	0.091658
817,	0.100185
818,	0.124396
819,	0.099845
820,	0.084144
821,	0.086486
822,	0.082771
823,	0.122037
824,	0.093590
825,	0.114828
826,	0.094240
827,	0.132038
828,	0.108651
829,	0.119360
830,	0.085690
831,	0.101584
832,	0.097520
833,	0.098072
834,	0.087045
835,	0.101740
836,	0.102802
837,	0.094867
838,	0.096126
839,	0.141497
840,	0.098366
841,	0.101038
842,	0.124408
843,	0.095353
844,	0.140341
845,	0.141158
846,	0.213691
847,	0.090340
848,	0.092604
849,	0.100409
850,	0.091255
851,	0.109578
852,	0.092914
853,	0.101680
854,	0.097356
855,	0.102764
856,	0.117364
857,	0.113213
858,	0.110032
859,	0.110233
860,	0.095086
861,	0.165878
862,	0.154450
863,	0.133998
864,	0.124346
865,	0.113627
866,	0.100394
867,	0.130109
868,	0.108440
869,	0.119936
870,	0.139220
871,	0.161592
872,	0.110296
873,	0.119071
874,	0.121907
875,	0.102231
876,	0.103874
877,	0.154414
878,	0.132761
879,	0.172639
880,	0.136484
881,	0.162173
882,	0.103746
883,	0.113101
884,	0.145548
885,	0.116929
886,	0.109065
887,	0.105946
888,	0.112645
889,	0.157518
890,	0.108114
891,	0.123391
892,	0.119566
893,	0.105577
894,	0.121514
895,	0.111572
896,	0.104439
897,	0.115955
898,	0.153567
899,	0.162218
900,	0.114029
901,	0.129262
902,	0.127137
903,	0.126133
904,	0.112558
905,	0.121018
906,	0.127036
907,	0.112890
908,	0.112016
909,	0.129800
910,	0.132446
911,	0.140195
912,	0.114947
913,	0.133248
914,	0.117344
915,	0.132875
916,	0.112991
917,	0.173190
918,	0.116204
919,	0.114614
920,	0.141416
921,	0.143007
922,	0.195103
923,	0.117067
924,	0.114507
